Bedrijfsnaam,Website,Email,Telefoon,Adres,Sector,Land,ERP Score,Logistiek Score,Complexiteit Score,B2B Score,Groei Score,Email Geldig,Email Score,Email Reden,Omschrijving,Gevonden Op
Schoonmaakleverancier,https://schoonmaakleverancier.nl/schoonmaakgroothandel/,info@schoonmaakleverancier.nl,0317-202024,,Groothandel Schoonmaak,Nederland,78,30,18,10,20,Ja,70,generic_address,Bij Kroon Schoonmaakleverancier begrijpen we dat jouw tijd kostbaar is. Daarom hebben wij grote investeringen gemaakt in ons assortiment én webshop. Zodat jij,2026-02-25T11:21:32.919Z
Totaalproducts.nl - Groothandel in Schoonmaakproducten en -benodigdheden,https://www.totaalproducts.nl/,info@totaalproducts.nl,+31850606716,,Groothandel Schoonmaak,Nederland,73,30,18,25,0,Ja,70,generic_address,"Ontdek het uitgebreide assortiment schoonmaakproducten en -benodigdheden bij Totaalproducts.nl. Wij leveren hoogwaardige reinigingsmiddelen voor bedrijven en particulieren, inclusief industriële desin",2026-02-25T11:21:46.564Z
Doseer,https://doseer.nl/,info@doseer.nl,06-21273490,,Groothandel Schoonmaak,Nederland,88,30,25,25,8,Ja,70,generic_address,"Doseer.nl is de groothandel in reinigingsmiddelen voor al uw schoonmaakproducten, schoonmaakmiddelen, schoonmaakmaterialen en hygiëneartikelen Toiletpapier, Z-vouwhanddoekjes, Dispensers, Machines, Vu",2026-02-25T11:21:47.523Z
Get Cleaning Products,https://www.getcleaningproducts.nl/,info@getcleaningproducts.nl,+604800,,Groothandel Schoonmaak,Nederland,80,30,25,25,0,Ja,70,generic_address,,2026-02-25T11:21:48.930Z
King Belgium NV | Schoonmaak,https://www.kingbelgium.be/nl/sectoren/schoonmaak,mail@kingbelgium.be,0403542170,mail mail@kingbelgium.be phone +32 2 655 03 33 print ID PEPPOL: 9925:be0403542170 location_on Rue du Cerf 188/A 1332 Genval BE0403.542.170,Groothandel Schoonmaak,België,58,30,10,10,8,Ja,70,generic_address,Schoonmaak,2026-02-25T11:21:53.124Z
"Schoonmaak en hygiëne worden simpel, slim en leuk.",http://boma.be/,hasselt@boma.be,0422.029.182,,Groothandel Schoonmaak,België,57,21,18,10,8,Ja,85,mx_verified,BOMA levert alles voor de schoonmaak,2026-02-25T11:21:54.010Z
Grosco bv,https://grosco.be/,info@grosco.be,0.098039215,,Groothandel Schoonmaak,België,65,30,10,25,0,Ja,70,generic_address,"Grosco bv is een Belgische B2B producent en groothandel in professionele onderhouds en reinigingsproducten voor bedrijven. Wij leveren een zorgvuldig geselecteerd gamma aan klanten in horeca, schoonma",2026-02-25T11:21:54.726Z
DeSchoonmaakWinkel.Be,https://deschoonmaakwinkel.be/,info@deschoonmaakwinkel.be,+31 6 489 849 17,,Groothandel Schoonmaak,België,58,30,18,10,0,Ja,70,generic_address,,2026-02-25T11:21:54.736Z
Cleanko,https://cleanko.be/,info@cleanko.be,0475 62 41 05,,Groothandel Schoonmaak,België,56,21,25,10,0,Ja,70,generic_address,"Wij zijn jouw betrouwbare leverancier van schoonmaakproducten voor jouw bedrijf. Bestel hier schoonmaakmiddelen voor toiletten, keukens, zalen en vloeren!",2026-02-25T11:21:57.001Z
Comul Professional,https://www.comul.be/nl/,info@comul.be,+32 3 293 41 43,"Kriekenstraat 35, Hall 1 2520 Ranst (België)",Groothandel Schoonmaak,België,58,30,18,10,0,Ja,70,generic_address,"Comul Professional is uw B2B-groothandel voor industriële reinigingsmiddelen, horecabenodigdheden, hygiënisch papier, ecologische verpakkingen en keukenmateriaal. Kwaliteit en service voor professiona",2026-02-25T11:21:58.166Z
Clean and Cleaner,https://www.clean-and-cleaner.de/nl,,076-4753-830,,Groothandel Schoonmaak,Duitsland,87,30,25,18,14,Nee,0,no_email_found,,2026-02-25T11:22:11.726Z
IndustryStock.com,https://www.industrystock.de/de/unternehmen/Chemieindustrie/Reinigungsmittel/W%C3%A4schereinigungsmittel/Waschmittel,,,"51103 Köln, Deutschland",Groothandel Schoonmaak,Duitsland,94,30,25,25,14,Nee,0,no_email_found,Waschmittel - 179 Lieferanten aus Deutschland ✓ Türkei ✓ Österreich ✓ Schweiz ✓ Polen ✓ Ungarn ✓ China ✓ Spanien ✓ Rumänien ✓ Schweden ✓ Litauen und  ✓ Russland,2026-02-25T11:22:11.772Z
Waschmittel Hersteller/Fabrikant Deutschland,https://www.europages.de/unternehmen/deutschland/hersteller%20fabrikant/waschmittel.html,,0255075100,,Groothandel Schoonmaak,Duitsland,94,30,25,25,14,Nee,0,no_email_found,325 Anbieter für waschmittel Hersteller/Fabrikant ✓Schnell recherchiert ✓Direkt kontaktiert ✓B2B Marktplatz ➤ Jetzt Firmen finden!,2026-02-25T11:22:12.751Z
igefa,https://www.igefa.de/,,,,Groothandel Schoonmaak,Duitsland,93,30,18,25,20,Nee,0,no_email_found,"Der Versorgungsspezialist für die Branchen Gebäudereinigung, Gesundheitswesen, HoReCa und Industrie → Jetzt Ihren Fachberater finden!",2026-02-25T11:22:12.828Z
Hochdruckreinigen: Zubehör und Ersatzteile vom Spezialisten,https://www.hochdruckspezialist.de/,post@hochdruckspezialist.de,0 2.58.8 3.22 3,,Groothandel Schoonmaak,Duitsland,88,30,25,25,8,Ja,85,mx_verified,,2026-02-25T11:22:12.890Z
Listflix,https://listflix.de/grosshaendler/,,,,Groothandel Schoonmaak,Duitsland,80,30,25,25,0,Nee,0,no_email_found,Fertige Liste mit Großhändlern statt mühsamer Eigenrecherche? Einfach Wunschliste konfigurieren und Angebot anfordern.,2026-02-25T11:22:13.818Z
Industriereiniger Großhändler Deutschland,https://www.wlw.de/de/suche/industriereiniger/supplier-type/wholesaler/country/germany,,0255075100,,Groothandel Schoonmaak,Duitsland,100,30,25,25,20,Nee,0,no_email_found,1598 Anbieter für Industriereiniger Großhändler ✓Schnell recherchiert ✓Direkt kontaktiert ✓B2B Marktplatz ➤ Jetzt Firmen finden!,2026-02-25T11:22:19.509Z
Eco Nova,https://www.eco-nova.de/nl/industriereiniger/,info@eco-nova.de,05923 9936 0,,Groothandel Schoonmaak,Duitsland,73,30,25,10,8,Ja,70,generic_address,Industriële reinigers van Eco-Nova zijn het effectieve en veilige alternatief voor gevaarlijke & verouderde reinigingschemicaliën,2026-02-25T11:22:24.413Z
Nergiz Gro&szlig;markt GmbH,https://www.nergiz-grossmarkt.de/nl/,,0176 3036 14,,Groothandel Schoonmaak,Duitsland,73,30,18,25,0,Nee,0,no_email_found,Wij zijn uw betrouwbare levensmiddelengroothandel in de regio Gronau. Kom langs en laat ons u overtuigen van onze uitgebreide selectie.,2026-02-25T11:22:25.662Z
Joh. Sieben,https://jskv.de/nl/sectoren/reinigings-en-schoonmaakmiddelen,sieben@jskv.de,,,Groothandel Schoonmaak,Duitsland,77,30,25,2,20,Ja,85,mx_verified,"Duurzame, chemisch bestendige verpakkingen voor reinigingsmiddelen. Ontwikkeld met oog voor veiligheid, gebruiksgemak en maatwerk – zelfs onder de zwaarste omstandigheden.",2026-02-25T11:22:25.932Z
Chemische Fabrik Dr.Stöcker GmbH & Co.KG,https://www.dr-stoecker.de/nl/producten/hal-en-machine-reinigers/,info@dr-stoecker.nl,+31 71 250 1110,,Groothandel Schoonmaak,Duitsland,64,30,10,10,14,Ja,70,generic_address,,2026-02-25T11:22:27.958Z
ChemMarkt.de,https://chemmarkt.de/nl,kontakt@chemmarkt.de,0347694696,,Groothandel Schoonmaak,Duitsland,85,30,25,10,20,Ja,85,mx_verified,"🧪 ChemMarkt is een online winkel met een breed assortiment aan chemische producten voor huishouden 🏠 en industrie 🏭 – waaronder reinigingsmiddelen 🧼, detergenten 🧴, speciale chemicaliën ⚗️ en che",2026-02-25T11:22:29.840Z
allclean.de,https://allclean.de/,info@allclean.de,0 1 1 0 63.85 63.,,Groothandel Schoonmaak,Duitsland,56,21,25,10,0,Ja,70,generic_address,,2026-02-25T11:22:30.736Z
Bouwmaat,https://www.bouwmaat.nl/,,,,Bouwmaterialen,Nederland,58,30,18,10,0,Nee,0,no_email_found,Kies voor Bouwmaat: professionele bouwgroothandel met ruim 14 000 artikelen. Online levering of afhalen bij een van onze vestigingen door heel Nederland.,2026-02-25T11:22:34.509Z
Online-Bouwmaterialen.nl,https://www.online-bouwmaterialen.nl/,info@online-bouwmaterialen.nl,+31747113433,Online-Bouwmaterialen.nl * onderdeel van BM Webshops B.V. Stationsstraat 16 7622 LX Borne * bezoek ALLEEN op afspraak KvK: 82807507 BTW nr: NL86261065,Bouwmaterialen,Nederland,58,30,10,18,0,Ja,70,generic_address,"Online bouwmaterialen kopen voor elke klus. Groothandel in A-kwaliteit bouwmaterialen voor zzp'ers, bedrijven en particulieren. Landelijke levering, scherpe prijzen en gratis bezorging vanaf € 750,-.",2026-02-25T11:22:35.550Z
Sleiderink,https://www.sleiderink.nl/,binnendienst@sleiderink.nl,0541-354444,,Bouwmaterialen,Nederland,81,30,18,25,8,Ja,85,mx_verified,Online Bouwmaterialen Groothandel. Vestigingen in Denekamp en Oldenzaal. Voor Particulier én Bedrijf - Professioneel Advies – Breed Assortiment - Snelle Levering,2026-02-25T11:22:36.118Z
Stiho,https://www.stiho.nl/,,030-2424424,,Bouwmaterialen,Nederland,66,30,18,10,8,Nee,0,no_email_found,"Jouw bouwmaterialen koop je bij de bouwmaterialen groothandel Stiho. Van plaatmateriaal, hout en ijzerwaren tot diensten. Bekijk ons assortiment nu online.",2026-02-25T11:22:36.380Z
Direct Bouwen,https://direct-bouwen.nl/,info@direct-bouwen.nl,035709528,Contact Klantenservice:070 - 223 0089 Spoedlevering: +31 6 819 345 60 Mail ons:Info@direct-bouwen.nl #text-3455065827 { font-size: 0.875rem; },Bouwmaterialen,Nederland,88,30,25,25,8,Ja,70,generic_address,DE GROOTHANDEL VOOR AL UW BOUWMATERIALEN PROFESSINALS EN PARTICULIEREN | ALLES ONDER ÉÉN DAK | SPOEDLEVERINGEN MOGELIJK,2026-02-25T11:22:36.382Z
Beerten Bouwmaterialen,https://beertenbouwmaterialen.nl/,info@beertenbouwmaterialen.nl,,,Bouwmaterialen,Nederland,58,30,18,10,0,Ja,70,generic_address,Breed assortiment bouwmaterialen | Scherpe prijzen | Kwaliteit | Snelle service | Kwantumkorting | Persoonlijk advies | Ontdek Beerten Bouwmaterialen,2026-02-25T11:22:37.147Z
Groothandel in bouwmaterialen,https://www.profibouwshop.nl/,mail@profibouwshop.nl,06-55 20 80 54,06-55 20 80 54 Vandaag bereikbaar van 08:00 - 17:00,Bouwmaterialen,Nederland,74,30,18,18,8,Ja,70,generic_address,Groothandel in bouwmaterialen voor de professional en de doe het zelver.,2026-02-25T11:22:37.260Z
DESTIL,https://www.destil.nl/,,005514745,,Bouwmaterialen,Nederland,72,30,18,10,14,Nee,0,no_email_found,De nummer 1 groothandel voor de bouw en industrie van Nederland. Met ruim 100.000 artikelen op voorraad! Met 39 vestigingen altijd in de buurt,2026-02-25T11:22:37.573Z
groothandelaar bouwmaterialen in Nederland,https://www.yoys.nl/locaties/groothandelaar-bouwmaterialen,,+31 515414301,"Sneek, Friesland Nederland",Bouwmaterialen,Nederland,55,12,18,25,0,Nee,0,no_email_found,"Groothandelaar Bouwmaterialen 118 suppliers on Yoys in Nederland: Regts, Fiberplast, CARCOATINGS ✦ Yoys B2B Marketplace ✓ Products ✓ Companies ✓ Distributors ✓ Dealers ✓ Contact",2026-02-25T11:22:42.323Z
Bouwmateriaal Groothandelaar Nederland,https://www.europages.nl/ondernemingen/nederland/groothandelaar/bouwmateriaal.html,,0255075100,,Bouwmaterialen,Nederland,100,30,25,25,20,Nee,0,no_email_found,60 leveranciers voor bouwmateriaal Groothandelaar ✓Vind groothandelaren en neem direct contact met ze op ✓B2B-marktplaats ➤ Vind nu bedrijven!,2026-02-25T11:22:43.067Z
Tulp-Bijl Hout en Bouwstoffen Import BV,https://tulpbijl.nl/,info@tulpbijl.nl,0318-636921,,Bouwmaterialen,Nederland,57,21,18,10,8,Ja,70,generic_address,"Houthandel Tulp-Bijl in Ede is dé leverancier in hout, plaatmateriaal, gevelbekleding en bouwmaterialen.",2026-02-25T11:22:57.856Z
veromabouwmaterialen.be,https://veromabouwmaterialen.be/,info@veromabouwmaterialen.be,075764003,,Bouwmaterialen,België,51,0,25,18,8,Ja,70,generic_address,,2026-02-25T11:23:01.376Z
BMB Bouwmaterialen,https://www.bmb-bouwmaterialen.be/nl,,0421 683 744,"Nieuwstraat 123a, 9190 Stekene, België",Bouwmaterialen,België,56,12,18,18,8,Nee,0,no_email_found,Onze producten zijn met de grootste zorg uitgekozen. Wij werken enkel met de bekendste merken van leveranciers die de beste kwaliteit kunnen waarborgen.,2026-02-25T11:23:03.615Z
Bouwdepot,https://www.bouwdepot.be/,,0670.770.143,,Bouwmaterialen,België,50,30,18,2,0,Nee,0,no_email_found,Bouwmaterialen online kopen? Bekijk hier ons ruim aanbod online bouwmaterialen & isolatie: ☑️ Scherpe prijzen ☑️ Online bestellen ☑️ Leveren/Afhalen!,2026-02-25T11:23:04.042Z
verhelst.be,https://www.verhelst.be/,info@verhelst.be,09 210 02 80,,Bouwmaterialen,België,78,30,18,10,20,Ja,70,generic_address,bouwmaterialen |tegels | isolatie | pleister |bouwplaten | dakmaterialen | gevelmaterialen | binnendeuren | prefab beton | chape| natuursteenmaatwerk | gereedschap |logistiek Ook webshop ! Regio West-,2026-02-25T11:23:05.283Z
Groothandel bouwmaterialen,https://www.bsearch.be/groothandel-bouwmaterialen/,,011 39 38 38,2170 Antwerpen,Bouwmaterialen,België,80,30,25,25,0,Nee,0,no_email_found,,2026-02-25T11:23:11.353Z
Clymans Partners,https://clymanspartners.be/,info@clymanspartners.be,03 860 60 00,,Bouwmaterialen,België,57,21,18,10,8,Ja,70,generic_address,"Clymans zoekt partners in de bouwsector om duurzame samenwerkingen op te bouwen. Word onderdeel van ons netwerk en profiteer van gezamenlijke inkoop, logistieke voordelen en technische ondersteuning v",2026-02-25T11:23:12.442Z
Bouwmaterialen online kopen,https://www.bouwkampioen.be/nl/,,0644.458.003,,Bouwmaterialen,België,65,30,10,25,0,Nee,0,no_email_found,Bouwkampioen is dé online shop voor professionele bouwmaterialen en isolatie. Scherpe prijzen voor aannemer en particulier ✔️ Ruime voorraad ✔️ Snelle levering!,2026-02-25T11:23:16.128Z
Hilfra,https://www.hilfra.be/producten/bouwmaterialen,webshop@hilfra.be,0676 679 522,,Bouwmaterialen,België,50,30,10,10,0,Ja,85,mx_verified,Groothandel in bouwmaterialen voor zowel particulieren als professionelen. Ontdek ons ruim assortiment en shop online.,2026-02-25T11:23:18.131Z
bobbie.de,https://www.bobbie.de/,,082762383-1,© 2016-2026 Bobbie Deutschland Vertriebs GmbH. All Rights Reserved.,Bouwmaterialen,Duitsland,94,30,25,25,14,Nee,0,no_email_found,,2026-02-25T11:23:22.448Z
Baustoffe kaufen auf restado,https://restado.de/,,000049421-2,,Bouwmaterialen,Duitsland,73,30,10,25,8,Nee,0,no_email_found,"Baustoffe und Baumaterial online kaufen ✓ Bis zu 70% preiswerter ✓ Über 1 Millionen Baustoffe ✓ Deutschlandweite Lieferung ✓ Große Auswahl ✓ Ziegel, Altholz, Holzbalken, Klinker, Backsteine und mehr",2026-02-25T11:23:24.189Z
EU Baustoffhandel,https://www.eu-baustoffimport.de/,,0 11 12 13 14 1,,Bouwmaterialen,Duitsland,65,30,25,10,0,Nee,0,no_email_found,Baustoffe aus Polen Online Kaufen  ➤ Lieferung KOSTENLOS ➤ Angebot innerhalb 1h - Wir Liefern Baustoffe aus Polen und Deutschlandweit direkt ab Produktionswerk zu Ihnen auf die Baustelle,2026-02-25T11:23:24.422Z
Bauhalle Deutschland ,https://bauhalle-deutschland.de/,info@bauhalle-deutschland.de,0 6.6274-5.372,,Bouwmaterialen,Duitsland,58,30,18,10,0,Ja,70,generic_address,Baustoffe Onlineshop ✓ Flexible Zahlungsmethoden ✓ kostenloser Versand per Spedition ✓ 3% Skonto bei Vorkasse ▶Testen Sie uns!,2026-02-25T11:23:25.274Z
Baumarkt,https://www.team.de/produkte-und-services/bau/baumarkt,internet@team.de,023-1077-458,,Bouwmaterialen,Duitsland,85,30,10,25,20,Ja,85,mx_verified,Produktvielfalt bei team baucenter » Werkzeuge ✔ Eisenwaren ✔ Bauchemie ✔ Farbe & Tapete ✔ Fliesen ✔ Armaturen ✔ Badkeramik ✔Ventilator u.v.m.,2026-02-25T11:23:29.540Z
"Alle Großhändler, Hersteller & Lieferanten für Baustoffe 2026",https://cleverb2b.de/de/baustoffe,info@cleverb2b.de,01-8099 999,,Bouwmaterialen,Duitsland,55,30,0,25,0,Ja,70,generic_address,"Finden Sie Großhändler, Hersteller & Lieferanten für Baustoff ✓ B2B Zulieferer aus Deutschland ✓ Sicher & bequem ✓ CLEVER finden",2026-02-25T11:23:36.898Z
Emsländer Baustoffwerke GmbH & Co. KG,https://www.emslaender.de/index.php?lang=nl,kontakt@emslaender.de,+49 5932 7271-0,,Bouwmaterialen,Duitsland,53,12,25,2,14,Ja,85,mx_verified,"Emsländer Baustoffwerke GmbH & Co KG uit Haren / Ems. als een van de toonaangevende aanbieders van verblendstenen, kalkzandsteenproducten en cellenbeton zijn wij in het noorden en overal in Duitsland ",2026-02-25T11:23:41.788Z
Leymann Baustoffe,https://www.leymann-baustoffe.de/sortiment/,0info@leymann-baustoffe.desocial,,,Bouwmaterialen,Duitsland,81,30,25,18,8,Nee,20,dns_lookup_failed,Leymann Baustoffe ist mit seinem Sortiment für Profi und Privat der Ansprechpartner rund um das Thema Baustoffe. Wir führen Produkte von Hoch- und Tiefbau.,2026-02-25T11:23:45.068Z
De technische groothandel voor installateurs,https://www.technischeunie.nl/,,,,Technische Groothandel,Nederland,72,21,18,25,8,Nee,0,no_email_found,"Installatiemateriaal nodig? De Technische Groothandel met ✓ Grootste Assortiment Installatiemateriaal ✓ Snel Bezorgd ✓ Besteld voor 20:00, Morgen Geleverd",2026-02-25T11:23:48.380Z
Voorpagina,https://www.techprof.nl/,,0208203060,,Technische Groothandel,Nederland,85,30,10,25,20,Nee,0,no_email_found,,2026-02-25T11:23:49.452Z
Je technische groothandel,https://groot.nl/,,0224 54 44 44,,Technische Groothandel,Nederland,58,30,10,10,8,Nee,0,no_email_found,Wij zijn sinds 2001 een betrouwbare leverancier voor al je technische componenten.,2026-02-25T11:23:49.486Z
Wildkamp,https://www.wildkamp.nl/,info@wildkamp.nl,+31-523-687510,,Technische Groothandel,Nederland,87,30,18,25,14,Ja,70,generic_address,"Technische groothandel Wildkamp - 100.000+ artikelen op voorraad. Vanaf € 50,- gratis bezorgd (binnen 1 werkdag) of afhalen in één van onze 45 vestigingen.",2026-02-25T11:23:49.616Z
Solar,https://www.solar.nl/,,,,Technische Groothandel,Nederland,54,30,0,10,14,Nee,0,no_email_found,"Solar biedt je als technische groothandel een breed assortiment installatiemateriaal, maatoplossingen, snelle logistieke diensten en technische ondersteuning.",2026-02-25T11:23:49.894Z
Technim,https://www.technim.nl/,webshop@technim.nl,0511-705260,,Technische Groothandel,Nederland,50,30,10,10,0,Ja,85,mx_verified,"Technim is dé groothandel in warmtepompen, cv-ketels, vloerverwarming en installatiematerialen. Voor zakelijke en particulier. Bezoek shop.",2026-02-25T11:23:50.197Z
Rexel,https://www.rexel.nl/nln/,,091246620,,Technische Groothandel,Nederland,100,30,25,25,20,Nee,0,no_email_found,,2026-02-25T11:23:50.365Z
Meijer Metal,https://meijer-metal.nl/,info@meijer-metal.nl,08 4.51957 0.1,,Technische Groothandel,Nederland,85,30,25,10,20,Ja,70,generic_address,,2026-02-25T11:23:57.550Z
IndustriePartner,https://industriepartner.nl/,info@industriepartner.nlphone,0119351138,,Technische Groothandel,Nederland,50,30,10,2,8,Nee,20,dns_lookup_failed,,2026-02-25T11:23:57.717Z
INDUSTRIE24,https://www.industrie24.nl/,info@industrie24.nl,0560060762,,Technische Groothandel,Nederland,65,21,18,18,8,Ja,70,generic_address,"INDUSTRIE24 is groothandel voor industriële componenten en specialist in inspectie en inventarisatie van schakelkasten, machineparken en installaties. Leverancier van A-merken zoals Siemens, Eaton, AB",2026-02-25T11:23:58.482Z
Avinom,https://www.avinom.nl/,verkoop@avinom.nl,026-02-17 15,,Technische Groothandel,Nederland,79,30,25,10,14,Ja,85,mx_verified,,2026-02-25T11:23:59.623Z
Dutch Partscenter,https://www.dutchpartscenter.nl/,info@dutchpartscenter.nl,085 902 1902,,Technische Groothandel,Nederland,56,21,25,10,0,Ja,70,generic_address,[cs_content][cs_element_section _id=”1″ ][cs_element_layout_row _id=”2″ ][cs_element_layout_column _id=”3″ ][cs_element_gap _id=”4″ ][cs_element_headline _id=”5″ ][cs_content_seo]Speciaalbierpleziernn,2026-02-25T11:24:00.281Z
DEXIS,https://www.dexis-nl.nl/,,04.4405402,,Technische Groothandel,Nederland,85,30,25,10,20,Nee,0,no_email_found,De nummer 1 groothandel voor de bouw en industrie van Nederland. Met ruim 100.000 artikelen op voorraad! Met 37 vestigingen altijd in de buurt,2026-02-25T11:24:05.383Z
Home,https://www.bunkercentrale.nl/,info@bunkercentrale.nl,+31 162 454087,,Technische Groothandel,Nederland,72,30,18,10,14,Ja,70,generic_address,"Bunkercentrale bv is een technische groothandel met een breed assortiment onderhouds, reparatie, productie artikelen (MRO-artikelen), gereedschappen en machines van gerenommeerde A-merken",2026-02-25T11:24:05.414Z
IP Duursma,https://duursma.nl/,info@duursma.nl,0 6.6274-5.372,,Technische Groothandel,Nederland,93,30,25,18,20,Ja,70,generic_address,,2026-02-25T11:24:05.989Z
Over ons,https://www.dehaasindustrialsupply.nl/over-ons.html,info@dehaasindustrialsupply.nl,071-7470005,Schipholweg 1032316 XC LeidenNederland 071-7470005,Technische Groothandel,Nederland,50,30,10,10,0,Ja,70,generic_address,Over ons,2026-02-25T11:24:06.425Z
Centraal Techniek,https://www.centraaltechniek.nl/mro,115-563210info@centraaltechniek.nl,0013241965,,Technische Groothandel,Nederland,66,30,18,10,8,Ja,85,mx_verified,"Als specialisten in MRO producten, bieden we alleen de hoogste kwaliteit 
producten aan. Onze vaste partners zorgen ervoor dat we snel kunnen leveren 
en altijd de beste service bieden. Wij onderschei",2026-02-25T11:24:06.910Z
Main Website,https://www.isodin.nl/,,0 100-16 8 8 0 0,,Technische Groothandel,Nederland,80,30,25,25,0,Nee,0,no_email_found,"Isodin BV biedt +80.000 bevestigingsmaterialen, fasteners en MRO-service artikelen. Leverancier voor machinebouw, industrie en OEM. Zakelijk bestellen.",2026-02-25T11:24:07.270Z
Groothandel,https://groothandel.be/,,0010026817,,Technische Groothandel,België,88,30,25,25,8,Nee,0,no_email_found,"Webshop & échte winkel met 20 jaar ervaring. Uitgebreid gamma. Vandaag besteld, binnen 2 tot 5 werkdagen GRATIS geleverd!",2026-02-25T11:24:12.306Z
CEBEO,https://www.cebeo.be/nl-be,e-mail@cebeo.be,026.02.20-102,,Technische Groothandel,België,100,30,25,25,20,Ja,85,mx_verified,"Verkoop aan professionals van elektrotechnisch materiaal: schakelmateriaal, kabels, verlichting, hernieuwbare energie, warmtepompen, ventilatie, e-mobility, gereedschap, installatiemateriaal, power di",2026-02-25T11:24:12.877Z
STG Group,https://www.stg-pro.be/homepagina,support.ecom@stg-group.be,00434422-10,,Technische Groothandel,België,65,30,25,10,0,Ja,85,mx_verified,"Ben je professionele klant bij STG (Sanitair Technische Groothandel) of wil je klant worden? Ontdek hier ons aanbod: sanitair, verwarming, hernieuwbare energie, installatiematerialen,...",2026-02-25T11:24:13.759Z
Traen Industries,https://industrie-totaal.be/,info@traen-industries.be,050 32 14 22,Pathoekeweg 25 G8000 Brugge,Technische Groothandel,België,58,30,10,18,0,Ja,70,generic_address,"Traen Industries BV te Brugge: groothandel met specialisatie in aandrijvingen, lager technieken en bevestigingsmaterialen. ",2026-02-25T11:24:13.762Z
B-pac,https://b-pac.be/,info@b-pac.be,0788772623,,Technische Groothandel,België,62,12,18,18,14,Ja,70,generic_address,"B-Pac is uw ervaren groothandel in technische onderdelen tegen scherpe B2B-prijzen voor diverse sectoren zoals transport, landbouw en meer.",2026-02-25T11:24:14.333Z
